date,BTC price,BTC network hashrate,Average BTC block size,NUAU - BTC,Number TX - BTC,Difficulty - BTC,TX fees - BTC,Estimated TX Volume USD - BTC,Gold in USD,Ethereum Price,Litecoin Price,Bitcoin Cash Price,Cardano Price,Nasdaq composite index,DJI,Google trends
02/05/2019,5402.42,54003657.44,1.126911234,516500,439549,6.35E+12,65.62521893,871033405.3,,160.85,73.68,271.97,0.06902,8036.77002,26307.78906,
01/05/2019,5350.91,44213520.72,1.295070857,551918,346486,6.35E+12,85.48463465,825666161.7,,162.19,74.3,267.99,0.070338,8049.640137,26430.14063,
30/04/2019,5247.73,51477170.55,1.203267614,529709,363207,6.35E+12,70.95469952,883853257.1,,155.17,67.95,237.57,0.064661,8095.390137,26592.91016,
29/04/2019,5284.86,51477170.55,0.977574344,406877,383291,6.35E+12,47.95393039,437115221.3,,157.29,69.78,255.55,0.06862,8161.850098,26554.39063,
28/04/2019,5271.75,43266088.13,1.170310445,421593,359008,6.35E+12,54.42092725,453051882.7,,158.5,72.12,264.12,0.070189,,,
27/04/2019,5279.47,47687440.2,1.255490709,547738,381209,6.35E+12,91.44744899,1227442687,,156.27,73.21,264.09,0.069211,,,
26/04/2019,5210.3,45160953.3,1.219515846,529636,384089,6.35E+12,94.30087588,821796270,1284.2,154.58,71.36,267.19,0.069347,8146.399902,26543.33008,
25/04/2019,5466.52,51477170.55,1.234416043,595208,404279,6.35E+12,130.6749264,1527178616,1280.8,165.91,73.25,279.21,0.072643,8118.680176,26462.08008,
24/04/2019,5571.51,36634060.02,1.255767388,500657,311753,6.35E+12,96.48121035,821615167.7,1271.65,171.35,74.75,290.96,0.074524,8102.009766,26597.05078,
23/04/2019,5399.37,42318655.54,1.142223119,458919,342014,6.35E+12,70.12693315,730309083.1,1269.5,172.01,76.85,292.79,0.078067,8120.819824,26656.39063,
22/04/2019,5312.49,51161359.68,1.142430407,390509,390735,6.36E+12,50.31279868,345094123.2,1275.7,170.02,77.29,290.34,0.074101,8015.27002,26511.05078,
21/04/2019,5335.88,41631660.19,1.240556481,417376,319840,6.39E+12,58.09103814,366774810.2,,173.72,81.52,300.81,0.076556,,,
20/04/2019,5304.16,48305437.78,1.212485171,551457,362128,6.39E+12,78.43301725,685930841.1,,173.72,82.55,306.86,0.079515,,,
19/04/2019,5298.15,47352040.98,1.214882,516919,382981,6.39E+12,72.4195866,686791898.2,1275.7,173.79,82.1,306.93,0.081739,,,
18/04/2019,5251.48,43856252.72,1.229380333,507562,350737,6.39E+12,77.14980905,865976634.4,1275.7,166.91,79.39,310.87,0.083066,7998.060059,26559.53906,
17/04/2019,5236.14,46080845.25,1.25263491,514674,358517,6.39E+12,76.56869368,643453402.3,1275.85,167.55,81.35,318.31,0.083785,7996.080078,26449.53906,
16/04/2019,5066.58,46080845.25,1.22713911,530203,381473,6.39E+12,78.96972247,800124827.3,1276.35,161.53,79.04,314.12,0.082265,8000.22998,26452.66016,
15/04/2019,5167.32,38771469.79,1.196266385,390154,337030,6.39E+12,57.42373876,551452871.5,1285.65,167.9,83.01,288.7,0.084643,7976.009766,26384.76953,
14/04/2019,5095.76,42902855.92,1.107431615,415961,367076,6.39E+12,66.22119369,423133491.4,,164.48,78.2,279.41,0.083731,,,
13/04/2019,5088.85,47987638.84,1.184258404,531017,376767,6.39E+12,100.5657148,692001598.8,,164.62,78.95,282.68,0.083485,,,
12/04/2019,5061.2,49894432.44,1.201692847,571694,402802,6.39E+12,115.285098,1045331356,1294.3,165.34,79.63,272.64,0.083584,7984.160156,26412.30078,
11/04/2019,5325.08,47034242.04,1.213674912,544626,396501,6.39E+12,111.7853946,847017572.9,1298.8,177.34,88.39,305.12,0.089929,7947.359863,26143.05078,
10/04/2019,5204.11,41949459.12,1.251238629,524226,346071,6.39E+12,114.9255611,876426851,1305.45,176.07,86.77,295.97,0.083779,7964.240234,26157.16016,
09/04/2019,5289.92,47034242.04,1.218371115,,372417,6.39E+12,130.5444404,975157007.8,1303,180.22,89.5,309.95,0.086989,7909.279785,26150.58008,
08/04/2019,5199.84,44809649.52,1.138896872,,350631,6.39E+12,85.51644481,446188726.9,1300,174.45,92.33,319.77,0.090466,7953.879883,26341.01953,
07/04/2019,5062.79,44174051.65,1.211691266,,359569,6.38E+12,80.84759712,425988312.3,,165.98,92.42,305.8,0.090161,,,
