Date,Bitcoin_price,Ethereum_price,Cardano_price,Ripple_price,S&P500,DJI,NASDAQ,Gold,Silver,Commodities,T_Bill,Oil,Twitter_volume,Google_trends
01/10/2013,123.65499,0,0,0,1695,15191.7002,3817.97998,124.589996,20.41,31.879999,2.646,102.040001,0,2
02/10/2013,125.455,0,0,0,1693.869995,15133.13965,3815.02002,127.059998,20.92,32.360001,2.626,104.099998,0,2
03/10/2013,108.58483,0,0,0,1678.660034,14996.48047,3774.340088,127.18,20.92,32.27,2.606,103.309998,0,2
04/10/2013,118.67466,0,0,0,1690.5,15072.58008,3807.75,126.529999,20.93,32.400002,2.652,103.839996,0,2
05/10/2013,121.33866,0,0,0,1690.5,15072.58008,3807.75,126.529999,20.93,32.400002,2.652,103.839996,0,2
06/10/2013,120.65533,0,0,0,1690.5,15072.58008,3807.75,126.529999,20.93,32.400002,2.652,103.839996,0,2
07/10/2013,121.795,0,0,0,1676.119995,14936.24023,3770.379883,127.639999,21.530001,32.599998,2.634,103.029999,0,2
08/10/2013,123.033,0,0,0,1655.449951,14776.53027,3694.830078,127.400002,21.49,32.639999,2.636,103.489998,0,2
09/10/2013,124.049,0,0,0,1656.400024,14802.98047,3677.780029,126.110001,21.049999,32.459999,2.65,101.610001,0,2
10/10/2013,125.96116,0,0,0,1692.560059,15126.07031,3760.75,124.269997,20.83,32.950001,2.685,103.010002,0,2
11/10/2013,125.27966,0,0,0,1703.199951,15237.11035,3791.870117,122.599998,20.52,32.799999,2.682,102.019997,0,2
12/10/2013,125.9275,0,0,0,1703.199951,15237.11035,3791.870117,122.599998,20.52,32.799999,2.682,102.019997,0,2
13/10/2013,126.38333,0,0,0,1703.199951,15237.11035,3791.870117,122.599998,20.52,32.799999,2.682,102.019997,0,2
14/10/2013,135.24199,0,0,0,1710.140015,15301.25977,3815.280029,122.830002,20.5,32.779999,2.691,102.410004,0,2
15/10/2013,133.20333,0,0,0,1698.060059,15168.00977,3794.01001,123.730003,20.559999,32.490002,2.72,101.209999,0,2
16/10/2013,142.76333,0,0,0,1721.540039,15373.83008,3839.429932,123.540001,20.5,32.810001,2.671,102.290001,0,2
17/10/2013,137.92333,0,0,0,1733.150024,15371.65039,3863.149902,127.419998,21.049999,32.52,2.587,100.669998,0,2
18/10/2013,142.95166,0,0,0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2
19/10/2013,152.55183,0,0,0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2
20/10/2013,160.33883,0,0,0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2
21/10/2013,164.31499,0,0,0,1744.660034,15392.2002,3920.050049,126.980003,21.41,32.52,2.609,99.220001,0,2
22/10/2013,177.63333,0,0,0,1754.670044,15467.66016,3929.570068,129.339996,21.870001,32.330002,2.512,97.800003,0,2
23/10/2013,188.29716,0,0,0,1746.380005,15413.33008,3907.070068,128.690002,21.75,31.860001,2.485,96.860001,0,2
24/10/2013,200.70166,0,0,0,1752.069946,15509.20996,3928.959961,129.899994,21.870001,31.799999,2.522,97.110001,0,2
25/10/2013,180.355,0,0,0,1759.77002,15570.28027,3943.360107,130.460007,21.709999,31.98,2.503,97.849998,0,2
26/10/2013,175.03166,0,0,0,1759.77002,15570.28027,3943.360107,130.460007,21.709999,31.98,2.503,97.849998,0,2
27/10/2013,177.6965,0,0,0,1759.77002,15570.28027,3943.360107,130.460007,21.709999,31.98,2.503,97.849998,0,2
28/10/2013,187.15983,0,0,0,1762.109985,15568.92969,3940.129883,130.559998,21.68,32.18,2.512,98.68,0,2
29/10/2013,192.75666,0,0,0,1771.949951,15680.34961,3952.340088,129.770004,21.690001,32.09,2.507,98.199997,0,2
30/10/2013,197.4,0,0,0,1763.310059,15618.75977,3930.620117,129.600006,21.879999,32.110001,2.527,96.769997,0,2
31/10/2013,196.02499,0,0,0,1756.540039,15545.75,3919.709961,127.739998,21.1,31.91,2.542,96.379997,0,2
01/11/2013,198.04883,0,0,0,1761.640015,15615.54981,3922.040039,126.949997,21.08,31.379999,2.62,94.610001,0,2
02/11/2013,198.93233,0,0,0,1761.640015,15615.54981,3922.040039,126.949997,21.08,31.379999,2.62,94.610001,0,2
03/11/2013,200.543,0,0,0,1761.640015,15615.54981,3922.040039,126.949997,21.08,31.379999,2.62,94.610001,0,2
04/11/2013,210.3075,0,0,0,1767.930054,15639.12012,3936.590088,126.809998,20.85,31.120001,2.602,94.620003,0,2
05/11/2013,225.02,0,0,0,1762.969971,15618.21973,3939.860107,126.559998,20.9,31.02,2.662,93.370003,0,2
06/11/2013,248.25333,0,0,0,1770.48999,15746.87988,3931.949951,127.199997,21,31.09,2.64,94.800003,0,2
07/11/2013,262.32666,0,0,0,1747.150024,15593.98047,3857.330078,126.160004,20.83,30.84,2.613,94.199997,0,2
08/11/2013,294.48699,0,0,0,1770.609985,15761.78027,3919.22998,124.279999,20.690001,31.030001,2.746,94.599998,0,2
09/11/2013,331.10325,0,0,0,1770.609985,15761.78027,3919.22998,124.279999,20.690001,31.030001,2.746,94.599998,0,2
10/11/2013,285.8875,0,0,0,1770.609985,15761.78027,3919.22998,124.279999,20.690001,31.030001,2.746,94.599998,0,2
11/11/2013,304.97974,0,0,0,1771.890015,15783.09961,3919.790039,123.870003,20.6,31.299999,2.751,95.139999,0,2
12/11/2013,338.137,0,0,0,1767.689941,15750.66992,3919.919922,122.449997,20,31.030001,2.768,93.040001,0,2
13/11/2013,357.48,0,0,0,1782,15821.62988,3965.580078,122.849998,19.780001,31.16,2.725,93.879997,0,2
