Date,Bitcoin_price,Ethereum_price,Cardano_price,Ripple_price,S&P500,DJI,NASDAQ,Gold,Silver,Commodities,T_Bill,Oil,Twitter_volume,Google_trends,Bitcoin_price_change,Bitcoin_price_change_percent,Bitcoin +/-
2013-10-02,125.455,0.0,0.0,0.0,1693.869995,15133.13965,3815.0200200000004,127.059998,20.92,32.360001000000004,2.6260000000000003,104.099998,0,2.0,1.8000100000000145,0.014556711378974851,increase
2013-10-03,108.58483000000001,0.0,0.0,0.0,1678.660034,14996.480469999999,3774.3400880000004,127.18,20.92,32.27,2.6060000000000003,103.309998,0,2.0,-16.870169999999987,-0.13447188234825225,decrease
2013-10-04,118.67466,0.0,0.0,0.0,1690.5,15072.580080000002,3807.75,126.529999,20.93,32.400002,2.6519999999999997,103.839996,0,2.0,10.089829999999992,0.09292117508495434,increase
2013-10-05,121.33866,0.0,0.0,0.0,1690.5,15072.580080000002,3807.75,126.529999,20.93,32.400002,2.6519999999999997,103.839996,0,2.0,2.6640000000000015,0.02244792612003277,increase
2013-10-06,120.65533,0.0,0.0,0.0,1690.5,15072.580080000002,3807.75,126.529999,20.93,32.400002,2.6519999999999997,103.839996,0,2.0,-0.683329999999998,-0.005631593426200676,decrease
2013-10-07,121.795,0.0,0.0,0.0,1676.119995,14936.240230000001,3770.3798829999996,127.639999,21.530001000000002,32.599998,2.634,103.029999,0,2.0,1.1396699999999953,0.009445666428494981,increase
2013-10-08,123.03299999999999,0.0,0.0,0.0,1655.449951,14776.53027,3694.830078,127.400002,21.49,32.639998999999996,2.636,103.489998,0,2.0,1.2379999999999853,0.01016462087934622,increase
2013-10-09,124.04899999999999,0.0,0.0,0.0,1656.400024,14802.980469999999,3677.780029,126.110001,21.049999,32.459998999999996,2.65,101.610001,0,2.0,1.0160000000000053,0.008257947054855164,increase
2013-10-10,125.96116,0.0,0.0,0.0,1692.560059,15126.07031,3760.75,124.269997,20.83,32.950001,2.685,103.010002,0,2.0,1.9121600000000143,0.015414553926271113,increase
2013-10-11,125.27966,0.0,0.0,0.0,1703.199951,15237.11035,3791.8701170000004,122.599998,20.52,32.799999,2.682,102.019997,0,2.0,-0.6814999999999998,-0.005410397935363576,decrease
2013-10-12,125.9275,0.0,0.0,0.0,1703.199951,15237.11035,3791.8701170000004,122.599998,20.52,32.799999,2.682,102.019997,0,2.0,0.647839999999988,0.00517115068798879,increase
2013-10-13,126.38333,0.0,0.0,0.0,1703.199951,15237.11035,3791.8701170000004,122.599998,20.52,32.799999,2.682,102.019997,0,2.0,0.45583000000000595,0.00361978122332296,increase
2013-10-14,135.24199,0.0,0.0,0.0,1710.140015,15301.259769999999,3815.280029,122.83000200000001,20.5,32.779999,2.6910000000000003,102.410004,0,2.0,8.858659999999986,0.07009357958838391,increase
2013-10-15,133.20333,0.0,0.0,0.0,1698.060059,15168.009769999999,3794.01001,123.730003,20.559998999999998,32.490002000000004,2.72,101.209999,0,2.0,-2.038659999999993,-0.015074164466228224,decrease
2013-10-16,142.76333,0.0,0.0,0.0,1721.540039,15373.830080000002,3839.429932,123.540001,20.5,32.810001,2.6710000000000003,102.290001,0,2.0,9.560000000000002,0.07176997752233372,increase
2013-10-17,137.92333,0.0,0.0,0.0,1733.1500239999998,15371.65039,3863.149902,127.41999799999999,21.049999,32.52,2.5869999999999997,100.66999799999999,0,2.0,-4.840000000000003,-0.03390226327727153,decrease
2013-10-18,142.95166,0.0,0.0,0.0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2.0,5.028330000000011,0.03645742892083592,increase
2013-10-19,152.55183,0.0,0.0,0.0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2.0,9.600169999999991,0.06715675774593999,increase
2013-10-20,160.33883,0.0,0.0,0.0,1744.5,15399.65039,3914.280029,126.849998,21.110001,32.77,2.589,100.809998,0,2.0,7.787000000000006,0.05104494649457836,increase
2013-10-21,164.31499,0.0,0.0,0.0,1744.660034,15392.2002,3920.0500490000004,126.980003,21.41,32.52,2.609,99.220001,0,2.0,3.976159999999993,0.02479848455922995,increase
2013-10-22,177.63333,0.0,0.0,0.0,1754.6700440000002,15467.66016,3929.570068,129.33999599999999,21.870001000000002,32.330002,2.512,97.800003,0,2.0,13.318340000000006,0.08105371275012718,increase
2013-10-23,188.29716000000002,0.0,0.0,0.0,1746.380005,15413.330080000002,3907.070068,128.690002,21.75,31.860001,2.485,96.860001,0,2.0,10.663830000000019,0.0600328215431194,increase
2013-10-24,200.70166,0.0,0.0,0.0,1752.069946,15509.20996,3928.959961,129.899994,21.870001000000002,31.799999,2.522,97.110001,0,2.0,12.404499999999985,0.06587725486672236,increase
2013-10-25,180.355,0.0,0.0,0.0,1759.77002,15570.28027,3943.360107,130.46000700000002,21.709999,31.98,2.503,97.849998,0,2.0,-20.346660000000014,-0.10137763683668588,decrease
2013-10-26,175.03166000000002,0.0,0.0,0.0,1759.77002,15570.28027,3943.360107,130.46000700000002,21.709999,31.98,2.503,97.849998,0,2.0,-5.323339999999973,-0.029515899198802265,decrease
2013-10-27,177.6965,0.0,0.0,0.0,1759.77002,15570.28027,3943.360107,130.46000700000002,21.709999,31.98,2.503,97.849998,0,2.0,2.6648399999999697,0.015224902740452517,increase
2013-10-28,187.15983,0.0,0.0,0.0,1762.109985,15568.92969,3940.1298829999996,130.559998,21.68,32.18,2.512,98.68,0,2.0,9.463330000000013,0.05325557903504019,increase
2013-10-29,192.75666,0.0,0.0,0.0,1771.949951,15680.34961,3952.3400880000004,129.770004,21.690001000000002,32.09,2.5069999999999997,98.199997,0,2.0,5.596830000000011,0.029904013056647916,increase
2013-10-30,197.4,0.0,0.0,0.0,1763.310059,15618.759769999999,3930.6201170000004,129.600006,21.879998999999998,32.110001000000004,2.5269999999999997,96.769997,0,2.0,4.643339999999995,0.02408912874917002,increase
2013-10-31,196.02499,0.0,0.0,0.0,1756.540039,15545.75,3919.709961,127.739998,21.1,31.91,2.542,96.379997,0,2.0,-1.3750100000000032,-0.006965602836879414,decrease
2013-11-01,198.04883,0.0,0.0,0.0,1761.640015,15615.549809999999,3922.040039,126.949997,21.08,31.379998999999998,2.62,94.610001,0,2.0,2.023840000000007,0.010324397924978967,increase
2013-11-02,198.93233,0.0,0.0,0.0,1761.640015,15615.549809999999,3922.040039,126.949997,21.08,31.379998999999998,2.62,94.610001,0,2.0,0.883499999999998,0.00446102105223245,increase
2013-11-03,200.543,0.0,0.0,0.0,1761.640015,15615.549809999999,3922.040039,126.949997,21.08,31.379998999999998,2.62,94.610001,0,2.0,1.610669999999999,0.008096572336934837,increase
2013-11-04,210.3075,0.0,0.0,0.0,1767.930054,15639.12012,3936.5900880000004,126.809998,20.85,31.120001000000002,2.602,94.620003,0,2.0,9.764499999999998,0.048690305819699464,increase
2013-11-05,225.02,0.0,0.0,0.0,1762.969971,15618.21973,3939.860107,126.559998,20.9,31.02,2.662,93.370003,0,2.0,14.712500000000006,0.06995708664693367,increase
2013-11-06,248.25332999999998,0.0,0.0,0.0,1770.4899899999998,15746.87988,3931.9499509999996,127.199997,21.0,31.09,2.64,94.800003,0,2.0,23.233329999999967,0.10325006666074121,increase
2013-11-07,262.32666,0.0,0.0,0.0,1747.1500239999998,15593.980469999999,3857.330078,126.160004,20.83,30.84,2.613,94.199997,0,2.0,14.073330000000027,0.05668939063173917,increase
2013-11-08,294.48699,0.0,0.0,0.0,1770.609985,15761.78027,3919.2299799999996,124.279999,20.690001000000002,31.030001000000002,2.7460000000000004,94.599998,0,2.0,32.16032999999999,0.12259649857929045,increase
2013-11-09,331.10325,0.0,0.0,0.0,1770.609985,15761.78027,3919.2299799999996,124.279999,20.690001000000002,31.030001000000002,2.7460000000000004,94.599998,0,2.0,36.61626000000001,0.12433914313158634,increase
2013-11-10,285.8875,0.0,0.0,0.0,1770.609985,15761.78027,3919.2299799999996,124.279999,20.690001000000002,31.030001000000002,2.7460000000000004,94.599998,0,2.0,-45.215750000000014,-0.13656087640335757,decrease
2013-11-11,304.97974,0.0,0.0,0.0,1771.890015,15783.09961,3919.790039,123.870003,20.6,31.299999,2.7510000000000003,95.139999,0,2.0,19.092240000000004,0.06678235319837356,increase
2013-11-12,338.13699999999994,0.0,0.0,0.0,1767.689941,15750.669919999998,3919.919922,122.449997,20.0,31.030001000000002,2.7680000000000002,93.040001,0,2.0,33.15725999999995,0.10871954969861264,increase
2013-11-13,357.48,0.0,0.0,0.0,1782.0,15821.62988,3965.580078,122.849998,19.780001000000002,31.16,2.725,93.879997,0,2.0,19.343000000000075,0.05720462416121297,increase
2013-11-14,402.954,0.0,0.0,0.0,1790.619995,15876.21973,3972.73999,124.269997,20.049999,31.35,2.702,93.760002,0,2.0,45.47399999999999,0.12720711648204097,increase
2013-11-15,409.10375,0.0,0.0,0.0,1798.180054,15961.7002,3985.969971,124.32,20.0,31.42,2.7089999999999996,93.839996,0,2.0,6.149749999999983,0.015261667584885563,increase
2013-11-16,420.21649,0.0,0.0,0.0,1798.180054,15961.7002,3985.969971,124.32,20.0,31.42,2.7089999999999996,93.839996,0,2.0,11.11274000000003,0.02716362291961394,increase
2013-11-17,437.29725,0.0,0.0,0.0,1798.180054,15961.7002,3985.969971,124.32,20.0,31.42,2.7089999999999996,93.839996,0,2.0,17.080759999999998,0.040647524327281914,increase
2013-11-18,510.6025,0.0,0.0,0.0,1791.530029,15976.019530000001,3949.070068,122.900002,19.67,31.139999,2.678,93.029999,0,2.0,73.30525,0.16763254285271634,increase
2013-11-19,693.65,0.0,0.0,0.0,1787.869995,15967.03027,3931.5500490000004,122.949997,19.610001,31.16,2.7119999999999997,93.339996,0,2.0,183.04749999999996,0.3584931526970587,increase
2013-11-20,531.54249,0.0,0.0,0.0,1781.369995,15900.82031,3921.2700200000004,120.120003,19.139999,31.18,2.792,93.33000200000001,0,2.0,-162.10750999999993,-0.2337021696821162,decrease
